article_number,article_type,created_by,article_content,emp_id
KA0001,Non-Tech,Employee1,Content for article 1,1
KA0002,Tech,Employee2,Content for article 2,2
KA0003,Non-Tech,Employee3,Content for article 3,3
KA0004,Tech,Employee4,Content for article 4,4
KA0005,Non-Tech,Employee5,Content for article 5,5
KA0006,Tech,Employee6,Content for article 6,6
KA0007,Non-Tech,Employee7,Content for article 7,7
KA0008,Tech,Employee8,Content for article 8,8
KA0009,Non-Tech,Employee9,Content for article 9,9
KA0010,Tech,Employee10,Content for article 10,10
KA0011,Non-Tech,Employee11,Content for article 11,11
KA0012,Tech,Employee12,Content for article 12,12
KA0013,Non-Tech,Employee13,Content for article 13,13
KA0014,Tech,Employee14,Content for article 14,14
KA0015,Non-Tech,Employee15,Content for article 15,15
KA0016,Tech,Employee16,Content for article 16,16
KA0017,Non-Tech,Employee17,Content for article 17,17
KA0018,Tech,Employee18,Content for article 18,18
KA0019,Non-Tech,Employee19,Content for article 19,19
KA0020,Tech,Employee20,Content for article 20,20
KA0021,Non-Tech,Employee21,Content for article 21,21
KA0022,Tech,Employee22,Content for article 22,22
KA0023,Non-Tech,Employee23,Content for article 23,23
KA0024,Tech,Employee24,Content for article 24,24
KA0025,Non-Tech,Employee25,Content for article 25,25
KA0026,Tech,Employee26,Content for article 26,26
KA0027,Non-Tech,Employee27,Content for article 27,27
KA0028,Tech,Employee28,Content for article 28,28
KA0029,Non-Tech,Employee29,Content for article 29,29
KA0030,Tech,Employee30,Content for article 30,30
KA0031,Non-Tech,Employee31,Content for article 31,31
KA0032,Tech,Employee32,Content for article 32,32
KA0033,Non-Tech,Employee33,Content for article 33,33
KA0034,Tech,Employee34,Content for article 34,34
KA0035,Non-Tech,Employee35,Content for article 35,35
KA0036,Tech,Employee36,Content for article 36,36
KA0037,Non-Tech,Employee37,Content for article 37,37
KA0038,Tech,Employee38,Content for article 38,38
KA0039,Non-Tech,Employee39,Content for article 39,39
KA0040,Tech,Employee40,Content for article 40,40
KA0041,Non-Tech,Employee41,Content for article 41,41
KA0042,Tech,Employee42,Content for article 42,42
KA0043,Non-Tech,Employee43,Content for article 43,43
KA0044,Tech,Employee44,Content for article 44,44
KA0045,Non-Tech,Employee45,Content for article 45,45
KA0046,Tech,Employee46,Content for article 46,46
KA0047,Non-Tech,Employee47,Content for article 47,47
KA0048,Tech,Employee48,Content for article 48,48
KA0049,Non-Tech,Employee49,Content for article 49,49
KA0050,Tech,Employee50,Content for article 50,50
KA0051,Non-Tech,Employee51,Content for article 51,51
KA0052,Tech,Employee52,Content for article 52,52
KA0053,Non-Tech,Employee53,Content for article 53,53
KA0054,Tech,Employee54,Content for article 54,54
KA0055,Non-Tech,Employee55,Content for article 55,55
KA0056,Tech,Employee56,Content for article 56,56
KA0057,Non-Tech,Employee57,Content for article 57,57
KA0058,Tech,Employee58,Content for article 58,58
KA0059,Non-Tech,Employee59,Content for article 59,59
KA0060,Tech,Employee60,Content for article 60,60
KA0061,Non-Tech,Employee61,Content for article 61,61
KA0062,Tech,Employee62,Content for article 62,62
KA0063,Non-Tech,Employee63,Content for article 63,63
KA0064,Tech,Employee64,Content for article 64,64
KA0065,Non-Tech,Employee65,Content for article 65,65
KA0066,Tech,Employee66,Content for article 66,66
KA0067,Non-Tech,Employee67,Content for article 67,67
KA0068,Tech,Employee68,Content for article 68,68
KA0069,Non-Tech,Employee69,Content for article 69,69
KA0070,Tech,Employee70,Content for article 70,70
KA0071,Non-Tech,Employee71,Content for article 71,71
KA0072,Tech,Employee72,Content for article 72,72
KA0073,Non-Tech,Employee73,Content for article 73,73
KA0074,Tech,Employee74,Content for article 74,74
KA0075,Non-Tech,Employee75,Content for article 75,75
KA0076,Tech,Employee76,Content for article 76,76
KA0077,Non-Tech,Employee77,Content for article 77,77
KA0078,Tech,Employee78,Content for article 78,78
KA0079,Non-Tech,Employee79,Content for article 79,79
KA0080,Tech,Employee80,Content for article 80,80
KA0081,Non-Tech,Employee81,Content for article 81,81
KA0082,Tech,Employee82,Content for article 82,82
KA0083,Non-Tech,Employee83,Content for article 83,83
KA0084,Tech,Employee84,Content for article 84,84
KA0085,Non-Tech,Employee85,Content for article 85,85
KA0086,Tech,Employee86,Content for article 86,86
KA0087,Non-Tech,Employee87,Content for article 87,87
KA0088,Tech,Employee88,Content for article 88,88
KA0089,Non-Tech,Employee89,Content for article 89,89
KA0090,Tech,Employee90,Content for article 90,90
KA0091,Non-Tech,Employee91,Content for article 91,91
KA0092,Tech,Employee92,Content for article 92,92
KA0093,Non-Tech,Employee93,Content for article 93,93
KA0094,Tech,Employee94,Content for article 94,94
KA0095,Non-Tech,Employee95,Content for article 95,95
KA0096,Tech,Employee96,Content for article 96,96
KA0097,Non-Tech,Employee97,Content for article 97,97
KA0098,Tech,Employee98,Content for article 98,98
KA0099,Non-Tech,Employee99,Content for article 99,99
KA0100,Tech,Employee100,Content for article 100,100
